,close
191,79.75
192,78.41
193,79.45
194,77.65
195,75.36
196,72.75
197,73.42
198,73.08
199,74.06
200,71.32
201,70.57
202,70.23
203,70.01
204,70.5
205,70.61
206,70.52
207,71.29
208,69.31
209,69.69
210,69.15
211,68.93
212,69.66
213,71.43
214,71.17
215,74.09
216,74.09
217,74.0
218,74.91
219,74.1
220,72.1
221,72.98
222,71.65
223,71.96
224,73.57
225,74.26
226,79.5
227,80.52
228,80.43
229,81.27
230,78.88
231,79.63
232,79.58
233,80.65
234,80.29
235,80.6
236,80.53
237,81.57
238,82.87
239,83.19
240,83.25
241,83.39
242,83.02
243,80.36
244,79.59
245,77.63
246,77.64
247,73.58
248,73.85
249,77.92
250,75.67
251,78.73
252,78.3
253,71.81
254,69.75
255,69.78
256,68.98
257,67.25
258,70.32
259,68.84
260,65.22
261,67.48
262,69.05
263,69.32
264,68.99
265,64.34
266,64.25
267,65.09
268,62.79
269,55.01
270,53.89
271,52.55
272,51.6
273,53.56
274,50.94
275,49.14
276,49.26
277,50.85
278,50.05
279,50.91
280,50.75
281,51.02
282,52.56
283,49.88
284,46.6
285,46.52
286,48.15
287,47.23
288,47.88
289,48.2
290,48.45
291,48.51
292,47.75
293,47.08
294,47.32
295,46.33
296,47.05
297,45.85
298,43.99
299,46.42
300,47.04
301,46.8
302,46.57
303,47.03
304,45.36
305,47.17
306,48.5
307,49.97
308,50.83
309,51.35
310,46.54
311,47.29
312,46.84
313,47.13
314,47.38
315,48.65
316,47.06
317,46.02
318,47.27
319,47.8
320,46.74
321,45.73
322,46.31
323,47.24
324,46.01
325,46.78
326,47.84
327,43.0
328,43.96
329,43.41
330,40.11
331,41.67
332,44.57
333,45.43
334,44.6
335,44.48
336,42.78
337,41.9
338,41.5
339,41.96
340,42.08
341,41.79
342,42.14
343,42.84
344,41.79
345,41.88
346,42.56
347,41.42
348,42.03
349,42.92
350,42.63
351,43.7
352,43.32
353,44.63
354,44.97
355,46.42
356,46.16
357,48.6
358,46.87
359,46.98
360,46.43
361,45.52
362,45.62
363,45.53
364,47.12
365,47.46
366,47.65
367,46.96
368,47.29
369,47.57
370,47.01
371,47.86
372,47.17
373,47.28
374,45.75
375,45.06
376,44.98
377,45.31
378,45.34
379,46.51
380,46.75
381,47.41
382,48.15
383,48.4
384,48.21
385,48.56
386,49.55
387,47.15
388,48.16
389,46.68
390,46.82
391,46.64
392,46.02
393,43.41
394,44.7
395,46.28
396,47.29
397,46.39
398,43.61
399,43.45
400,42.91
401,42.19
402,42.29
403,43.5
404,43.99
405,43.56
406,43.37
407,42.38
408,43.61
409,44.52
410,44.08
411,45.38
412,46.01
413,46.7
414,45.09
415,46.05
416,45.62
417,45.07
418,45.77
419,45.33
420,45.67
421,45.91
422,47.15
423,46.2
424,46.73
425,47.28
426,47.2
427,47.5
428,47.98
429,48.66
430,48.15
431,46.47
432,46.37
433,46.84
434,47.34
435,47.2
436,47.66
437,46.99
438,46.68
439,45.72
440,45.14
441,45.57
442,45.92
443,46.86
444,47.19
445,47.99
446,48.45
447,48.29
448,48.74
449,50.19
450,49.02
451,46.1
452,46.59
453,48.1
454,49.33
455,48.06
456,47.08
457,48.13
458,45.26
459,45.51
460,46.66
461,47.92
462,48.8
463,49.04
464,49.08
465,47.33
466,48.69
467,51.09
468,50.21
469,50.96
470,50.6
471,51.06
472,53.5
473,54.58
474,54.58
475,55.19
476,56.03
477,54.91
478,55.45
479,55.95
480,55.78
481,55.35
482,55.12
483,55.01
