,close
298,258.66
299,247.63
300,235.14
301,241.47
302,238.69
303,234.01
304,244.1
305,255.03
306,255.34
307,247.06
308,244.84
309,241.98
310,239.52
311,227.01
312,232.31
313,231.95
314,228.33
315,211.03
316,205.36
317,205.08
318,192.73
319,195.49
320,190.63
321,188.7
322,189.86
323,188.22
324,185.16
325,178.97
326,193.6
327,196.59
328,205.95
329,204.5
330,212.88
331,217.1
332,209.26
333,213.91
334,214.92
335,225.03
336,224.74
337,226.43
338,219.62
339,221.86
340,223.64
341,219.76
342,219.27
343,222.84
344,223.35
345,227.17
346,224.55
347,234.9
348,233.1
349,230.34
350,230.06
351,238.92
352,238.6
353,245.08
354,253.5
355,252.38
356,254.86
357,253.54
358,258.18
359,255.68
360,260.17
361,264.88
362,228.82
363,228.04
364,235.77
365,242.26
366,241.61
367,233.85
368,234.34
369,228.32
370,230.75
371,233.42
372,238.3
373,235.01
374,229.01
375,235.0
376,219.62
377,215.64
378,219.94
379,226.83
380,225.86
381,220.83
382,222.15
383,211.4
384,215.0
385,214.08
386,215.59
387,221.71
388,225.61
389,225.01
390,220.68
391,229.58
392,227.45
393,231.79
394,235.54
395,247.1
396,245.87
397,245.2
398,242.81
399,244.79
400,243.49
401,246.6
402,240.62
403,241.23
404,223.21
405,228.7
406,242.56
407,242.13
408,240.87
409,244.56
410,243.13
411,233.03
412,231.43
413,237.72
414,240.05
415,244.53
416,244.74
417,247.89
418,256.96
419,257.89
420,259.75
421,261.97
422,256.95
423,253.5
424,255.58
425,254.68
426,299.68
427,328.13
428,327.71
429,316.22
430,315.01
431,314.92
432,313.31
433,317.47
434,317.22
435,326.58
436,335.54
437,337.14
438,345.09
439,349.93
440,346.11
441,349.35
442,352.17
443,349.99
444,359.52
445,352.22
446,354.83
447,333.04
448,336.34
449,328.92
450,331.29
451,329.94
452,334.87
453,336.2
454,333.03
455,330.37
456,335.89
457,339.53
458,348.84
459,352.7
460,359.68
461,358.39
462,381.5
463,378.99
464,393.15
465,404.04
466,405.59
467,419.22
468,425.25
469,430.94
470,430.38
471,414.7
472,418.33
473,430.26
474,443.01
475,451.5
476,469.06
477,492.14
478,481.34
479,478.15
480,524.86
481,537.92
482,518.5
483,513.49
484,510.5
485,547.2
486,569.56
487,572.2
488,564.82
489,558.02
490,566.9
491,580.99
492,640.81
493,650.57
494,780.0
495,887.06
496,734.7
497,748.96
498,748.07
499,771.28
500,774.38
501,767.29
502,804.0
503,800.03
504,858.4
505,917.42
506,899.41
507,901.0
508,833.79
509,799.91
510,778.8
511,679.0
512,667.99
513,743.62
514,745.51
515,749.5
516,724.54
517,703.48
518,608.0
519,645.33
520,634.23
521,560.55
522,546.62
523,445.07
524,430.2
525,361.22
526,427.64
527,427.53
528,434.29
529,505.0
530,539.25
531,528.16
532,514.36
533,502.13
534,524.0
535,481.56
536,454.47
537,480.01
538,516.24
539,545.45
540,548.84
541,573.0
542,650.95
543,709.89
544,729.83
545,745.21
546,753.89
547,746.36
548,686.72
549,732.11
550,705.63
551,725.15
552,798.75
553,769.12
554,800.51
555,781.88
556,701.32
557,761.19
558,768.21
559,782.58
560,780.04
561,819.42
562,811.29
563,809.41
564,790.96
565,803.33
566,799.17
567,813.63
568,808.0
569,815.56
570,827.6
571,816.88
572,818.87
573,820.23
574,805.81
575,835.0
576,898.1
577,881.56
578,882.96
579,864.38
580,885.66
581,949.92
582,940.67
583,1025.05
584,972.84
585,935.28
586,990.9
587,982.13
588,991.79
589,1003.96
590,1000.9
591,994.32
592,1001.78
593,960.85
594,985.98
595,959.74
596,1009.35
597,1079.81
598,1119.63
599,1208.66
600,1371.58
601,1389.86
602,1365.88
603,1394.28
604,1544.65
605,1497.06
606,1516.8
607,1546.01
608,1500.64
609,1500.84
610,1643.0
611,1568.36
612,1592.33
613,1513.07
614,1417.0
615,1539.6
616,1476.49
617,1499.11
618,1487.49
619,1430.76
620,1485.0
621,1487.0
622,1485.02
623,1489.58
624,1452.71
625,1418.57
626,1374.39
627,1554.76
628,1621.0
629,1650.71
630,1835.64
631,1887.09
632,1878.53
633,2001.83
634,2049.98
635,2014.2
636,2023.34
637,2153.17
638,2238.75
639,2213.4
640,498.32
641,475.05
642,447.37
643,407.0
644,418.32
645,330.21
646,366.28
647,371.34
648,372.72
649,419.62
650,449.76
651,441.76
652,423.43
653,442.15
654,449.39
655,424.23
656,380.36
657,387.79
658,407.34
659,421.2
660,419.07
661,429.01
662,448.16
663,415.09
664,425.68
665,413.98
666,425.3
667,425.92
668,433.95
669,442.3
670,446.65
671,461.3
672,448.88
673,439.67
674,430.83
675,421.94
676,422.64
677,425.79
678,420.63
679,420.28
680,424.68
681,406.02
682,410.83
683,388.04
684,400.51
685,423.9
686,420.84
687,438.09
688,429.95
689,421.26
690,410.36
691,417.13
692,411.76
693,408.5
694,408.09
695,441.61
696,486.64
697,499.27
698,489.61
699,521.49
700,555.38
701,574.0
702,585.76
703,567.6
704,584.76
705,568.82
706,593.38
707,599.04
708,641.76
709,649.88
710,604.48
711,627.07
712,609.99
713,639.83
714,633.25
715,622.77
716,655.6
717,658.34
718,649.86
719,640.34
720,645.98
721,661.77
722,663.69
723,665.99
724,694.78
725,705.67
726,729.77
727,735.11
728,755.98
729,816.04
730,880.02
731,811.19
732,849.44
733,854.41
734,845.0
735,826.16
736,844.55
737,850.45
738,844.99
739,846.64
740,880.8
741,883.09
742,864.16
743,835.43
744,793.53
745,839.81
746,872.79
747,854.69
748,849.99
749,852.23
750,863.42
751,849.46
752,804.82
753,811.66
754,816.12
755,796.22
756,798.15
757,787.38
758,781.3
759,714.5
760,698.84
761,742.02
762,682.22
763,675.5
764,718.43
765,686.44
766,653.2
767,621.44
768,597.95
769,563.0
770,673.58
771,668.06
772,699.6
773,693.73
774,707.94
775,676.88
776,701.81
777,653.16
778,654.87
779,670.0
780,662.16
781,630.27
