,close
352,47.34
353,47.2
354,47.66
355,46.99
356,46.68
357,45.72
358,45.14
359,45.57
360,45.92
361,46.86
362,47.19
363,47.99
364,48.45
365,48.29
366,48.74
367,50.19
368,49.02
369,46.1
370,46.59
371,48.1
372,49.33
373,48.06
374,47.08
375,48.13
376,45.26
377,45.51
378,46.66
379,47.92
380,48.8
381,49.04
382,49.08
383,47.33
384,48.69
385,51.09
386,50.21
387,50.96
388,50.6
389,51.06
390,53.5
391,54.58
392,54.58
393,55.19
394,56.03
395,54.91
396,55.45
397,55.95
398,55.78
399,55.35
400,55.12
401,55.01
402,54.76
403,54.18
404,53.96
405,54.94
406,54.22
407,52.33
408,52.92
409,52.9
410,52.25
411,54.07
412,55.44
413,55.41
414,54.13
415,53.43
416,53.69
417,54.82
418,55.01
419,55.56
420,55.59
421,55.59
422,54.54
423,55.51
424,54.52
425,54.8
426,55.44
427,55.26
428,54.56
429,54.0
430,55.87
431,56.03
432,55.82
433,55.71
434,55.54
435,56.36
436,54.55
437,54.3
438,52.52
439,51.95
440,52.33
441,52.7
442,53.44
443,52.73
444,53.28
445,54.085
446,53.69
447,53.04
448,53.73
449,54.17
450,54.48
451,54.83
452,54.23
453,54.59
454,53.88
455,54.99
456,55.21
457,54.39
458,55.94
459,56.48
460,58.56
461,58.65
462,58.61
463,58.26
464,59.02
465,59.13
466,59.22
467,58.89
468,58.81
469,58.89
470,59.185
471,58.88
472,59.42
473,58.65
474,58.67
475,59.74
476,60.335
477,59.88
478,59.34
479,58.95
480,59.24
481,60.05
482,59.64
483,60.43
484,61.24
485,61.42
486,60.32
487,60.13
488,59.4
489,58.32
490,60.03
491,60.4
492,60.89
493,58.48
494,58.21
495,59.21
496,58.85
497,60.26
498,61.53
499,61.63
500,61.19
501,62.8
502,62.59
503,63.52
504,63.74
505,64.37
506,64.0
507,63.375
508,62.31
509,59.51
510,59.37
511,58.33
512,58.13
513,60.59
514,58.75
515,62.55
516,61.52
517,59.97
518,57.35
519,60.71
520,59.33
521,54.56
522,59.04
523,52.76
524,56.16
525,55.59
526,54.13
527,52.05
528,56.47
529,54.43
530,52.87
531,57.72
532,56.96
533,58.47
534,59.48
535,57.5
536,60.78
537,59.98
538,61.6
539,59.87
540,61.07
541,60.46
542,62.76
543,63.28
544,65.71
545,68.05
546,66.88
547,66.5
548,65.72
549,66.98
550,65.88
551,66.65
552,67.06
553,63.86
554,64.79
555,63.73
556,64.72
557,66.7
